('empresa', 0.9999999999999999)
('cuenta', 0.461067816642819)
('año', 0.4564671697742979)
('hacer', 0.4159239150682707)
('millón', 0.40890351851208245)
('país', 0.4072478801026604)
('total', 0.399752017952032)
('accionar', 0.38068207552400546)
('decir', 0.37764853707558266)
('méxico', 0.3678391133120512)
('economía', 0.36496221393602835)
('público', 0.36483710710373557)
('dólar', 0.3645648597505096)
('poder', 0.3643912421986419)
('ser', 0.35756210485686396)
('último', 0.35431692805971193)
('recurso', 0.3504919340644624)
('parte', 0.347198479618761)
('sólo', 0.3436490406697296)
('maxis', 0.33523919982740297)
('planta', 0.334409696605057)
('diciembre', 0.331619685148725)
('económico', 0.3312815586171436)
('bancario', 0.33107286549911147)
('mil', 0.32922408073441967)
('sector', 0.3271684263298719)
('si', 0.3258280082055205)
('gobierno', 0.32264860661436234)
('nueva', 0.31958187033245655)
('pixar', 0.3192754284070505)
('psinet', 0.3192754284070505)
('spyglass', 0.3192754284070505)
('problema', 0.3180358297280759)
('casi', 0.31743020395095556)
('peso', 0.3163880093552184)
('mercado', 0.3146782997149297)
('noviembre', 0.3135222467603063)
('dar', 0.3132575592950055)
('además', 0.31269609974656964)
('deuda', 0.31202642125554314)
('cantidad', 0.3113567750696282)
('ello', 0.3100217638316283)
('dos', 0.30934066540677696)
('llegar', 0.30761469843589284)
('banco', 0.3054717848142419)
('día', 0.30497408323357866)
('$', 0.3042086002812244)
('mayor', 0.30332011524288194)
('dinero', 0.3033082415264281)
('pues', 0.30291038772751777)
('pasatiempo', 0.3018720875213115)
('octubre', 0.30162921946432597)
('persona', 0.29839180009705946)
('pequeña', 0.298027946674657)
('desempleo', 0.2976527149876157)
('computadora', 0.29647012187944694)
('grande', 0.2962215899973032)
('quiebra', 0.29511945432347436)
('generar', 0.29089437238927396)
('mundo', 0.2897022645696659)
('encontrar', 0.28688332629979585)
('febrero', 0.2862537433553619)
('nuevo', 0.28528420975016183)
('industria', 0.28509934984483964)
('información', 0.28472792424166177)
('medio', 0.2843598672890201)
('considerar', 0.2841083267545518)
('alcanzar', 0.2832954257271897)
('empleo', 0.2826401793941814)
('hablar', 0.2820306444407589)
('general', 0.28174201509301944)
('sistema', 0.2803897205766417)
('tecnología', 0.2799388523485681)
('salario', 0.27950156656603714)
('ip', 0.2791689747579888)
('crisis', 0.2785620628436965)
