('fluctuar', 0.004518072289156626)
('belén', 0.004141566265060241)
('liberación', 0.004141566265060241)
('desarticulado', 0.00414156626506024)
('tono', 0.00414156626506024)
('comparación', 0.003953313253012049)
('denominar', 0.003953313253012048)
('desfase', 0.003953313253012048)
('fábrica', 0.003953313253012048)
('pantelhó', 0.0037650602409638554)
('ésto', 0.0037650602409638554)
('derramar', 0.003765060240963855)
('deprimente', 0.003576807228915663)
('guyamusaj', 0.003576807228915663)
('boom', 0.0035768072289156625)
('cárnico', 0.0035768072289156625)
('pionero', 0.0035768072289156625)
('saúl', 0.003482680722891566)
('prado', 0.0033885542168674704)
('uanl', 0.00338855421686747)
('cañaveral', 0.0033885542168674695)
('daniel', 0.0033885542168674695)
('encanto', 0.0033885542168674695)
('fresca', 0.0033885542168674695)
('organizativa', 0.0033885542168674695)
('constantino', 0.003200301204819277)
('desocupación', 0.003200301204819277)
('domínguez', 0.003200301204819277)
('excedente', 0.003200301204819277)
('gravemente', 0.003200301204819277)
('impropio', 0.003200301204819277)
('intempestivamente', 0.003200301204819277)
('ahuyentar', 0.0030120481927710845)
('apelación', 0.0030120481927710845)
('automática', 0.0030120481927710845)
('contraloría', 0.0030120481927710845)
('lai', 0.0030120481927710845)
('lentamente', 0.0030120481927710845)
('levantamiento', 0.0030120481927710845)
('my', 0.0030120481927710845)
('quizás', 0.0030120481927710845)
('tabulador', 0.0030120481927710845)
('unitario', 0.0030120481927710845)
('unióncremi', 0.0030120481927710845)
('bimestre', 0.003012048192771084)
('estallar', 0.003012048192771084)
('ligeramente', 0.003012048192771084)
('vencimiento', 0.003012048192771084)
('captación', 0.002917921686746988)
('tope', 0.002917921686746988)
('probable', 0.002823795180722892)
('recogido', 0.002823795180722892)
('rector', 0.002823795180722892)
('colonización', 0.0028237951807228916)
('dió', 0.0028237951807228916)
('inestabilidad', 0.0028237951807228916)
('sarmiento', 0.0028237951807228916)
('insolvencias', 0.002823795180722891)
('mero', 0.002823795180722891)
('perjuicio', 0.002823795180722891)
('titipuchal', 0.002823795180722891)
('tónica', 0.002823795180722891)
('gobierno', 0.002798845986355059)
('abarcar', 0.0027296686746987953)
('hormiga', 0.0027296686746987953)
('maquiladoras', 0.0027296686746987953)
('hectárea', 0.0027261825078090138)
('destinar', 0.0026731927710843375)
('ceoic', 0.002635542168674699)
('citadino', 0.002635542168674699)
('distanciamiento', 0.002635542168674699)
('fracasar', 0.002635542168674699)
('mandato', 0.002635542168674699)
('actriz', 0.0026355421686746986)
('aquél', 0.0026355421686746986)
('borrego', 0.0026355421686746986)
('brusco', 0.0026355421686746986)
('clandestino', 0.0026355421686746986)
('desplegar', 0.0026355421686746986)
('forzar', 0.0026355421686746986)
('fundar', 0.0026355421686746986)
('inexistentes', 0.0026355421686746986)
('inyectar', 0.0026355421686746986)
('labastida', 0.0026355421686746986)
('local', 0.0026355421686746986)
('oti', 0.0026355421686746986)
('prelado', 0.0026355421686746986)
('unico', 0.0026355421686746986)
('detectar', 0.0025727911646586344)
('vegetal', 0.0024472891566265065)
('agraviado', 0.002447289156626506)
('alarmante', 0.002447289156626506)
('apaciguar', 0.002447289156626506)
('aquejar', 0.002447289156626506)
('atraso', 0.002447289156626506)
('avalúos', 0.002447289156626506)
('bdem', 0.002447289156626506)
('cautivo', 0.002447289156626506)
('debutó', 0.002447289156626506)
('determinación', 0.002447289156626506)
('especificaciones', 0.002447289156626506)
('etiqueta', 0.002447289156626506)
('exceder', 0.002447289156626506)
('finanzas', 0.002447289156626506)
('irresponsable', 0.002447289156626506)
('litro', 0.002447289156626506)
('paquete', 0.002447289156626506)
('párpado', 0.002447289156626506)
('riel', 0.002447289156626506)
('seriedad', 0.002447289156626506)
('sobreposición', 0.002447289156626506)
('sometimientos', 0.002447289156626506)
('sorpresivo', 0.002447289156626506)
('sucesivo', 0.002447289156626506)
('unión', 0.002447289156626506)
('zedillista', 0.002447289156626506)
('agricultor', 0.0024472891566265057)
('procampo', 0.0024472891566265057)
('retener', 0.0023845381526104415)
('adquisitivo', 0.00235316265060241)
('democratizadora', 0.0023531626506024094)
('liévano', 0.0023531626506024094)
('quince', 0.0023531626506024094)
('tesoro', 0.0023531626506024094)
('uniformidad', 0.0023531626506024094)
('aproximadamente', 0.0023427041499330652)
('integral', 0.0023217871485943773)
('pérdida', 0.0023060993975903615)
('calcular', 0.0022590361445783136)
('colombiano', 0.0022590361445783136)
('consecuente', 0.0022590361445783136)
('copiar', 0.0022590361445783136)
('desconfianza', 0.0022590361445783136)
('inaplazable', 0.0022590361445783136)
('lazo', 0.0022590361445783136)
('municipio', 0.0022590361445783136)
('máxime', 0.0022590361445783136)
('narcotraficante', 0.0022590361445783136)
('premisa', 0.0022590361445783136)
('rectificaciones', 0.0022590361445783136)
('artista', 0.002259036144578313)
('caudillo', 0.002259036144578313)
('cierne', 0.002259036144578313)
('complicar', 0.002259036144578313)
('coordinación', 0.002259036144578313)
('covarrubias', 0.002259036144578313)
('d', 0.002259036144578313)
('depreciar', 0.002259036144578313)
('desviar', 0.002259036144578313)
('diabetes', 0.002259036144578313)
('específicamente', 0.002259036144578313)
('fisco', 0.002259036144578313)
('funeraria', 0.002259036144578313)
('horno', 0.002259036144578313)
