('fluctuar', 0.004518072289156626)
('belén', 0.004141566265060241)
('liberación', 0.004141566265060241)
('desarticulado', 0.00414156626506024)
('comparación', 0.003953313253012048)
('denominar', 0.003953313253012048)
('desfase', 0.003953313253012048)
('fábrica', 0.003953313253012048)
('pantelhó', 0.0037650602409638554)
('tono', 0.0037650602409638554)
('derramar', 0.003765060240963855)
('ésto', 0.003765060240963855)
('deprimente', 0.003576807228915663)
('guyamusaj', 0.003576807228915663)
('cárnico', 0.0035768072289156625)
('saúl', 0.0034826807228915666)
('prado', 0.0033885542168674704)
('daniel', 0.00338855421686747)
('encanto', 0.00338855421686747)
('organizativa', 0.00338855421686747)
('uanl', 0.00338855421686747)
('fresca', 0.0033885542168674695)
('constantino', 0.0032003012048192774)
('desocupación', 0.003200301204819277)
('excedente', 0.003200301204819277)
('domínguez', 0.0032003012048192766)
('ahuyentar', 0.0030120481927710845)
('bimestre', 0.0030120481927710845)
('cañaveral', 0.0030120481927710845)
('contraloría', 0.0030120481927710845)
('estallar', 0.0030120481927710845)
('gravemente', 0.0030120481927710845)
('impropio', 0.0030120481927710845)
('lentamente', 0.0030120481927710845)
('levantamiento', 0.0030120481927710845)
('ligeramente', 0.0030120481927710845)
('quizás', 0.0030120481927710845)
('tabulador', 0.0030120481927710845)
('intempestivamente', 0.003012048192771084)
('unitario', 0.003012048192771084)
('vencimiento', 0.003012048192771084)
('captación', 0.002917921686746988)
('tope', 0.002917921686746988)
('colonización', 0.0028237951807228916)
('dió', 0.0028237951807228916)
('perjuicio', 0.0028237951807228916)
('rector', 0.0028237951807228916)
('sarmiento', 0.0028237951807228916)
('unióncremi', 0.0028237951807228916)
('apelación', 0.002823795180722891)
('automática', 0.002823795180722891)
('inestabilidad', 0.002823795180722891)
('insolvencias', 0.002823795180722891)
('lai', 0.002823795180722891)
('my', 0.002823795180722891)
('recogido', 0.002823795180722891)
('gobierno', 0.00277616490056612)
('abarcar', 0.0027296686746987953)
('hormiga', 0.002729668674698795)
('maquiladoras', 0.002729668674698795)
('hectárea', 0.0027261825078090133)
('destinar', 0.0026731927710843375)
('clandestino', 0.002635542168674699)
('desplegar', 0.002635542168674699)
('fracasar', 0.002635542168674699)
('local', 0.002635542168674699)
('mandato', 0.002635542168674699)
('actriz', 0.0026355421686746986)
('boom', 0.0026355421686746986)
('borrego', 0.0026355421686746986)
('ceoic', 0.0026355421686746986)
('citadino', 0.0026355421686746986)
('distanciamiento', 0.0026355421686746986)
('inexistentes', 0.0026355421686746986)
('inyectar', 0.0026355421686746986)
('labastida', 0.0026355421686746986)
('mero', 0.0026355421686746986)
('oti', 0.0026355421686746986)
('pionero', 0.0026355421686746986)
('prelado', 0.0026355421686746986)
('probable', 0.0026355421686746986)
('titipuchal', 0.0026355421686746986)
('tónica', 0.0026355421686746986)
('unico', 0.0026355421686746986)
('detectar', 0.0025727911646586344)
('forzar', 0.0024472891566265065)
('alarmante', 0.002447289156626506)
('apaciguar', 0.002447289156626506)
('atraso', 0.002447289156626506)
('avalúos', 0.002447289156626506)
('bdem', 0.002447289156626506)
('brusco', 0.002447289156626506)
('cautivo', 0.002447289156626506)
('debutó', 0.002447289156626506)
('exceder', 0.002447289156626506)
('expuesto', 0.002447289156626506)
('finanzas', 0.002447289156626506)
('fundar', 0.002447289156626506)
('litro', 0.002447289156626506)
('paquete', 0.002447289156626506)
('seriedad', 0.002447289156626506)
('sobreposición', 0.002447289156626506)
('sorpresivo', 0.002447289156626506)
('sucesivo', 0.002447289156626506)
('vegetal', 0.002447289156626506)
('agricultor', 0.0024472891566265057)
('determinación', 0.0024472891566265057)
('procampo', 0.0024472891566265057)
('retener', 0.002384538152610442)
('liévano', 0.00235316265060241)
('tesoro', 0.00235316265060241)
('adquisitivo', 0.0023531626506024094)
('uniformidad', 0.0023531626506024094)
('integral', 0.0023217871485943773)
('aproximadamente', 0.002321787148594377)
('calcular', 0.0022590361445783136)
('colombiano', 0.0022590361445783136)
('coordinación', 0.0022590361445783136)
('especificaciones', 0.0022590361445783136)
('específicamente', 0.0022590361445783136)
('etiqueta', 0.0022590361445783136)
('narcotraficante', 0.0022590361445783136)
('premisa', 0.0022590361445783136)
('párpado', 0.0022590361445783136)
('rectificaciones', 0.0022590361445783136)
('artista', 0.002259036144578313)
('caudillo', 0.002259036144578313)
('cierne', 0.002259036144578313)
('consecuente', 0.002259036144578313)
('d', 0.002259036144578313)
('depreciar', 0.002259036144578313)
('desviar', 0.002259036144578313)
('fisco', 0.002259036144578313)
('horno', 0.002259036144578313)
('iberoamericana', 0.002259036144578313)
('inaplazable', 0.002259036144578313)
('incapacidad', 0.002259036144578313)
('irresponsable', 0.002259036144578313)
('lagunilla', 0.002259036144578313)
('lazo', 0.002259036144578313)
('maxis', 0.002259036144578313)
('microondas', 0.002259036144578313)
('monitor', 0.002259036144578313)
('motivar', 0.002259036144578313)
('municipio', 0.002259036144578313)
('máxime', 0.002259036144578313)
('pixar', 0.002259036144578313)
('psinet', 0.002259036144578313)
('pérdida', 0.002259036144578313)
('quince', 0.002259036144578313)
('ramiro', 0.002259036144578313)
('rubro', 0.002259036144578313)
('sabeís', 0.002259036144578313)
('senadora', 0.002259036144578313)
('sometimientos', 0.002259036144578313)
